collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2020990937569,2020,990937569,1,1,2,1,26,6,3,0,0,1,0,0,9,3,-1,3,1,0,1,-1
2020010258825,2020,010258825,1,2,2,2,34,6,3,0,0,0,3,0,11,4,E01002699,-1,0,0,1,-1
202031A140820,2020,31A140820,1,1,1,1,18,4,2,0,0,0,0,0,3,5,E01019520,-1,0,1,0,-1
2020137BO0521,2020,137BO0521,2,2,1,1,42,7,3,0,0,0,0,0,9,2,E01010806,-1,0,0.03648,0.96352,-1
2020522100921,2020,522100921,1,1,1,1,31,6,3,0,0,0,0,0,9,2,E01014575,-1,0,0.0173,0.9827,-1
2020990938596,2020,990938596,2,1,1,2,33,6,3,0,0,0,0,0,9,6,-1,3,1,0,1,-1
2020440162897,2020,440162897,1,1,1,1,26,6,3,0,0,0,0,0,19,9,E01032617,-1,0,0.03627,0.96373,-1
2020470915313,2020,470915313,1,1,3,2,80,11,2,5,3,0,0,0,0,9,E01020944,7,1,1,0,-1
2020200997481,2020,200997481,2,1,1,1,52,8,2,0,0,0,0,0,1,8,E01029652,6,1,1,0,-1
2020070019866,2020,070019866,1,1,1,1,19,4,2,0,0,0,0,0,97,-1,-1,-1,0,1,0,-1
2020990914685,2020,990914685,1,1,2,1,14,3,2,0,0,0,0,0,97,6,-1,7,1,1,0,-1
2020010276034,2020,010276034,1,1,1,2,34,6,3,0,0,0,0,0,9,1,E01003065,-1,0,0,1,-1
2020522001372,2020,522001372,1,1,3,2,77,11,3,8,9,0,0,0,0,3,E01014811,-1,0,0.08605,0.91395,-1
2020010250637,2020,010250637,1,1,1,1,28,6,3,0,0,0,0,0,3,5,E01032803,-1,0,0,1,-1
2020100929837,2020,100929837,2,1,1,1,87,11,3,0,0,0,0,0,22,2,E01033074,3,1,0,1,-1
2020040935327,2020,040935327,2,1,1,2,64,9,2,0,0,0,0,0,9,9,E01025343,6,1,1,0,-1
2020461005401,2020,461005401,2,1,1,1,58,9,2,0,0,0,0,0,9,8,E01024053,5,1,1,0,-1
2020010255919,2020,010255919,2,1,1,2,-1,-1,3,0,0,0,0,0,1,3,E01001717,-1,0,0,1,-1
2020140929613,2020,140929613,1,1,3,2,89,11,3,5,9,0,0,0,0,7,E01008049,3,1,0,1,-1
2020010284443,2020,010284443,2,1,1,1,21,5,2,0,0,0,0,0,3,-1,-1,-1,0,1,0,-1
2020010259947,2020,010259947,1,1,1,1,24,5,3,0,0,0,0,0,9,7,E01002175,-1,0,0,1,-1
202006XF72738,2020,06XF72738,2,1,1,1,48,8,3,0,0,0,0,0,9,7,E01004900,-1,0,0.0926,0.9074,-1
